Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
Loading snapshot
Resuming training from snapshot at Epoch 4900
[GPU1] Epoch 4900 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4900 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4900 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4900 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4901 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4901 | Batchsize: 32 | Steps: 16
Epoch 4900 | Training snapshot saved at snapshots/snapshot.pt
Epoch 4900 | Training snapshot saved at snapshots/snapshot.pt
[GPU0] Epoch 4901 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4901 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4902 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4902 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4902 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4902 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4903 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4903 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4903 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4903 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4904 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4904 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4904 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4904 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4905 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4905 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4905 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4905 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4906 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4906 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4906 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4906 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4907 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4907 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4907 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4907 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4908 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4908 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4908 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4908 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4909 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4909 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4909 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4909 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4910 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4910 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4910 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4910 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4911 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4911 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4911 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4911 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4912 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4912 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4912 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4912 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4913 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4913 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4913 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4913 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4914 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4914 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4914 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4914 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4915 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4915 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4915 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4915 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4916 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4916 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4916 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4916 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4917 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4917 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4917 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4917 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4918 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4918 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4918 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4918 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4919 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4919 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4919 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4919 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4920 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4920 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4920 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4920 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4921 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4921 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4921 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4921 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4922 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4922 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4922 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4922 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4923 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4923 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4923 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4923 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4924 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4924 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4924 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4924 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4925 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4925 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4925 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4925 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4926 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4926 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4926 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4926 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4927 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4927 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4927 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4927 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4928 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4928 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4928 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4928 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4929 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4929 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4929 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4929 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4930 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4930 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4930 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4930 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4931 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4931 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4931 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4931 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4932 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4932 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4932 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4932 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4933 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4933 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4933 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4933 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4934 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4934 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4934 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4934 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4935 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4935 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4935 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4935 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4936 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4936 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4936 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4936 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4937 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4937 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4937 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4937 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4938 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4938 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4938 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4938 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4939 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4939 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4939 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4939 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4940 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4940 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4940 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4940 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4941 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4941 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4941 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4941 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4942 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4942 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4942 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4942 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4943 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4943 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4943 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4943 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4944 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4944 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4944 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4944 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4945 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4945 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4945 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4945 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4946 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4946 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4946 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4946 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4947 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4947 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4947 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4947 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4948 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4948 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4948 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4948 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4949 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4949 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4949 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4949 | Batchsize: 32 | Steps: 16
[GPU1] Epoch 4950 | Batchsize: 32 | Steps: 16
[GPU0] Epoch 4950 | Batchsize: 32 | Steps: 16
[GPU2] Epoch 4950 | Batchsize: 32 | Steps: 16
[GPU3] Epoch 4950 | Batchsize: 32 | Steps: 16
